AERONET Version 3
Amazon_ATTO_Tower
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Amazon_ATTO_Tower,11:03:2016,21:00:39,71,71.875451,0.000346,0.000218,0.000164,0.000138,1.091707,74.318579,73.572393,19.542870,0.111635,0.067351,4,9,5,5,4,8,2,3,4,7,1,1,4,7,1,1,0.035990,0.042280,0.375230,0.368270,0,1,27:11:2018,09:29:37,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,11:03:2016,21:18:55,71,71.888137,0.001598,0.001057,0.000994,0.000854,0.723789,78.854720,78.110891,7.261027,0.062242,0.072013,4,10,6,4,4,10,5,4,4,9,4,1,2,8,4,1,0.039750,0.046340,0.404150,0.394350,0,1,27:11:2018,09:29:30,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,14:04:2016,19:39:50,105,105.819329,0.000829,0.002140,0.006202,0.006779,-2.869129,57.662172,56.932542,3.174874,0.153269,0.050509,4,10,7,4,4,10,7,3,4,8,7,3,4,7,8,4,0.028750,0.034280,0.311500,0.311560,1,1,07:01:2018,04:40:18,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,14:04:2016,20:04:22,105,105.836366,0.003245,0.002445,0.004175,0.003843,-0.260674,63.640992,62.908893,14.793500,0.344622,0.051423,3,10,8,4,3,10,8,3,3,10,8,2,3,10,7,3,0.031000,0.036740,0.327890,0.326600,0,1,07:01:2018,04:39:38,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,15:05:2016,19:53:01,136,136.828484,0.000585,0.000379,0.000301,0.000258,0.977863,63.431071,62.740619,31.267814,0.291832,0.078267,3,10,8,3,3,10,8,4,3,10,8,4,3,10,6,3,0.032660,0.038010,0.327990,0.327730,0,1,27:11:2018,11:51:25,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,17:05:2016,19:26:06,138,138.809792,0.000443,0.000283,0.000216,0.000182,1.052318,57.378937,56.700477,4.333284,0.198418,0.068219,4,8,3,3,1,6,3,2,2,9,4,2,4,10,4,3,0.030740,0.035690,0.311430,0.313020,0,1,27:11:2018,11:42:01,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,26:05:2016,13:07:17,147,147.546725,0.000948,0.000613,0.000466,0.000393,1.038159,46.158478,46.790743,5.527458,0.540350,0.143531,4,9,6,3,4,7,4,3,4,10,4,2,4,7,4,3,0.027800,0.032570,0.289500,0.294030,0,1,27:11:2018,12:11:06,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,27:05:2016,12:46:07,148,148.532025,0.001440,0.000877,0.000661,0.000560,1.142387,50.762221,51.410761,51.144801,1.499683,0.065099,3,10,6,2,3,10,4,2,3,10,4,2,3,10,4,1,0.028940,0.033800,0.297090,0.301530,0,1,27:11:2018,11:48:56,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,02:06:2016,11:02:32,154,154.460093,0.002006,0.001414,0.006360,0.008134,-1.426122,74.306650,74.989762,3.702139,0.062218,0.136863,4,10,7,6,4,10,7,5,4,10,6,4,4,10,6,4,0.039860,0.047200,0.376110,0.380710,1,1,07:01:2018,05:23:49,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,02:06:2016,11:34:04,154,154.481991,0.001852,0.001269,0.003563,0.003798,-0.764584,67.159346,67.836016,2.660906,0.059053,0.128002,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.034520,0.041150,0.340470,0.345160,1,1,07:01:2018,05:23:34,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,02:06:2016,12:20:48,154,154.514444,0.002166,0.000971,0.002853,0.004547,-0.163997,56.754878,57.413219,2.040809,0.051401,0.111525,4,10,7,4,4,10,6,4,4,10,6,4,4,10,5,4,0.029560,0.035550,0.307470,0.312350,1,1,07:01:2018,05:23:49,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,02:06:2016,12:48:19,154,154.533553,0.002511,0.003567,0.009192,0.011001,-1.785902,50.801149,51.441878,1.432203,0.054847,0.122077,3,10,8,4,3,10,8,3,3,10,7,4,3,10,8,3,0.027640,0.033390,0.294760,0.299760,1,1,07:01:2018,05:23:43,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,04:06:2016,11:34:42,156,156.482431,0.001501,0.000841,0.000664,0.000576,1.211371,67.144099,67.819285,14.019405,0.683952,0.112426,4,8,6,6,4,7,5,3,4,7,6,3,4,8,6,2,0.034500,0.041130,0.340330,0.345090,0,1,07:01:2018,05:39:52,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,04:06:2016,18:06:16,156,156.754352,0.000840,0.000567,0.000735,0.000730,0.270128,41.092729,40.511082,3.634973,0.475254,0.089519,4,10,8,2,4,11,8,2,4,11,8,2,4,11,9,1,0.025540,0.030940,0.279830,0.283950,0,1,07:01:2018,05:40:07,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,05:06:2016,12:21:46,157,157.515116,0.002804,0.001746,0.001167,0.000768,1.264239,56.765978,57.421641,32.752902,0.344363,0.094184,4,10,7,4,4,10,7,2,4,10,7,1,4,10,7,2,0.029560,0.035550,0.307480,0.312370,0,1,07:01:2018,05:47:51,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,05:06:2016,20:37:48,157,157.859583,0.004964,0.002854,0.003605,0.003630,0.554882,73.826900,73.146595,3.685835,0.047633,0.085247,4,10,7,5,4,10,6,5,4,9,6,5,4,9,3,5,0.040080,0.046920,0.371380,0.370120,0,1,07:01:2018,05:49:51,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,08:06:2016,11:35:48,160,160.483194,0.000777,0.000523,0.000410,0.000353,0.933809,67.149683,67.822405,5.847937,0.159518,0.075695,4,10,7,6,4,10,7,5,4,10,6,5,4,10,6,4,0.034520,0.041150,0.340440,0.345100,0,1,07:01:2018,05:49:29,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,08:06:2016,12:22:43,160,160.515775,0.000806,0.000544,0.000515,0.000447,0.684370,56.773509,57.426925,6.769667,0.341825,0.077200,4,10,7,4,4,9,3,3,4,6,3,3,4,8,2,3,0.029560,0.035560,0.307500,0.312380,0,1,07:01:2018,05:49:29,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,10:06:2016,11:36:18,162,162.483542,0.000779,0.001149,0.002340,0.002648,-1.535642,67.161278,67.833022,2.901706,0.103004,0.081362,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.034060,0.040520,0.331000,0.336030,1,1,07:01:2018,05:41:53,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,10:06:2016,12:23:19,162,162.516192,0.001169,0.001448,0.002138,0.001571,-0.843346,56.780241,57.432421,2.395688,0.157035,0.086874,4,10,7,4,4,10,7,4,4,10,7,3,4,7,6,4,0.029040,0.034840,0.298700,0.303680,1,1,07:01:2018,05:42:14,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,14:06:2016,11:05:22,166,166.462060,0.000711,0.000457,0.000345,0.000290,1.056166,74.349061,75.026444,7.382817,0.149855,0.110218,4,10,7,6,1,10,7,6,4,10,7,6,4,10,7,6,0.039500,0.046680,0.366280,0.371510,0,1,07:01:2018,05:46:14,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,15:06:2016,11:37:26,167,167.484329,0.001409,0.001458,0.001955,0.001793,-0.437492,67.202724,67.872782,4.565429,0.181425,0.103099,4,10,7,6,4,10,7,6,4,10,6,4,4,10,7,2,0.034090,0.040550,0.331160,0.336190,0,1,07:01:2018,06:02:12,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,15:06:2016,12:24:37,167,167.517095,0.000659,0.000426,0.000321,0.000271,1.048215,56.814501,57.464577,4.943563,0.324546,0.109430,4,10,7,4,4,10,7,2,4,10,7,1,4,6,6,2,0.029050,0.034860,0.298780,0.303760,0,1,07:01:2018,06:02:07,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,15:06:2016,18:08:49,167,167.756123,0.000412,0.000264,0.000196,0.000164,1.081397,41.597365,41.023766,3.877479,0.506382,0.077120,4,11,4,1,4,11,7,1,4,11,7,2,4,11,8,2,0.025050,0.030270,0.272390,0.276410,0,1,07:01:2018,06:02:33,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,16:06:2016,19:08:28,168,168.797546,0.003391,0.002305,0.001860,0.001592,0.881043,53.738650,53.100011,1.781512,0.095012,0.096112,4,10,8,3,4,10,8,3,4,10,8,3,3,10,8,3,0.028200,0.033720,0.291320,0.294360,1,1,07:01:2018,06:09:24,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,16:06:2016,19:30:10,168,168.812616,0.002391,0.002241,0.002594,0.002523,-0.090833,58.416286,57.764074,1.387435,0.108331,0.091862,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,4,0.029960,0.035650,0.301980,0.304480,1,1,07:01:2018,06:09:56,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,16:06:2016,19:51:52,168,168.827685,0.001954,0.001528,0.001847,0.001954,0.134142,63.177720,62.515300,1.485689,0.132064,0.080786,3,10,8,4,3,10,8,5,3,10,8,5,3,10,8,5,0.032190,0.038100,0.315570,0.317390,1,1,07:01:2018,06:09:29,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,16:06:2016,20:39:12,168,168.860556,0.008998,0.005971,0.005583,0.004861,0.725845,73.757440,73.081395,5.304825,0.067989,0.103084,2,8,7,6,4,4,6,6,4,3,4,6,4,8,4,3,0.039620,0.046280,0.360990,0.360430,0,1,07:01:2018,06:08:48,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,16:06:2016,20:56:50,168,168.872801,0.008478,0.006101,0.005936,0.005133,0.547709,77.738948,77.060907,3.918226,0.027566,0.099259,4,10,7,6,4,8,7,5,4,8,7,2,4,8,7,4,0.043840,0.050910,0.386650,0.384600,0,1,07:01:2018,06:09:54,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,19:06:2016,12:25:36,171,171.517778,0.000948,0.000634,0.000502,0.000429,0.931895,56.820612,57.469951,3.509609,0.188077,0.114925,4,10,7,4,4,10,6,4,4,10,6,3,4,8,7,3,0.028660,0.034850,0.292940,0.296930,1,1,07:01:2018,06:15:02,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,19:06:2016,12:53:27,171,171.537118,0.000513,0.000329,0.000253,0.000220,1.035285,50.886574,51.516588,1.347211,0.189790,0.084241,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.026490,0.032440,0.280920,0.284860,1,1,07:01:2018,06:14:28,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,26:06:2016,12:54:49,178,178.538067,0.001202,0.000838,0.001772,0.002115,-0.420414,50.874454,51.505467,1.372848,0.068032,0.078782,3,10,8,4,3,10,8,4,3,10,6,4,3,6,6,2,0.026030,0.032270,0.285690,0.288880,0,1,07:01:2018,06:12:08,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,26:06:2016,19:10:28,178,178.798935,0.000725,0.000795,0.002326,0.002731,-1.550785,53.683988,53.045040,0.657572,0.090239,0.080739,4,10,8,3,4,10,8,3,4,10,8,3,3,10,8,3,0.027220,0.033410,0.290620,0.291850,1,1,07:01:2018,06:12:07,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,26:06:2016,19:32:06,178,178.813958,0.001226,0.001229,0.002459,0.003087,-0.911679,58.349342,57.696856,1.915027,0.085659,0.077688,4,10,7,5,4,10,5,5,4,10,4,5,4,10,4,4,0.029150,0.035540,0.301490,0.302230,1,1,07:01:2018,06:11:15,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,26:06:2016,19:53:51,178,178.829062,0.001623,0.001500,0.002642,0.003251,-0.618437,63.123842,62.461119,2.633896,0.081404,0.080759,3,10,7,5,3,10,4,4,3,10,4,2,3,10,4,2,0.031620,0.038280,0.315480,0.315580,0,1,07:01:2018,06:11:01,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,26:06:2016,20:58:59,178,178.874294,0.002861,0.001717,0.001685,0.001585,0.819547,77.729526,77.051143,4.446062,0.065292,0.097995,4,10,7,2,4,8,5,3,4,8,5,2,4,7,3,2,0.044440,0.052490,0.388720,0.385330,0,1,07:01:2018,06:10:17,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,27:06:2016,11:07:59,179,179.463877,0.005425,0.003553,0.005296,0.005538,0.135585,74.388495,75.065949,2.744588,0.056160,0.091674,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.039730,0.047870,0.368110,0.372080,1,1,07:01:2018,06:20:24,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,27:06:2016,11:39:55,179,179.486053,0.003021,0.002134,0.003725,0.003932,-0.189091,67.213918,67.884325,1.135201,0.028663,0.088898,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.033740,0.041030,0.331720,0.335250,1,1,07:01:2018,06:21:53,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,27:06:2016,12:27:03,179,179.518785,0.003042,0.001703,0.003136,0.003760,0.102495,56.830129,57.480699,0.634908,0.027536,0.085923,4,10,7,4,4,10,7,4,4,10,7,4,4,10,7,4,0.028190,0.034710,0.298430,0.301690,1,1,07:01:2018,06:20:28,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
